account_id,account_name,domain,industry,segment,region,employee_count,annual_revenue_est,account_owner_id,created_date,is_pe_backed,crm_health_score
ACC000001,Nimbus Ops,nimbusops.net,EdTech,Mid-Market,Central,431,49814384,USR000010,2023-06-16,True,64
ACC000002,Vertex Markets,vertexmarkets.com,SaaS,Enterprise,West,655,60518684,USR000009,2025-06-16,False,87
ACC000003,Northstar Ops,northstarops.net,Healthcare Tech,Mid-Market,Southeast,400,38063311,USR000018,2023-07-25,False,57
ACC000004,Clearpath Solutions,clearpathsolutions.net,SaaS,SMB,International,70,8483387,USR000027,2024-12-03,False,93
ACC000005,Summit Solutions,summitsolutions.ai,Healthcare Tech,Mid-Market,Central,592,117861753,USR000018,2024-03-31,False,69
ACC000006,Northstar Data,northstardata.com,Cybersecurity,Mid-Market,Northeast,466,82953906,USR000009,2023-08-05,True,94
ACC000007,BluePeak Health,bluepeakhealth.ai,Manufacturing Tech,Mid-Market,Northeast,482,48770011,USR000010,2024-06-04,False,66
ACC000008,Vertex Intelligence,vertexintelligence.io,Manufacturing Tech,SMB,Northeast,158,32499107,USR000005,2023-08-19,False,85
ACC000009,Nova Markets,novamarkets.com,Healthcare Tech,Enterprise,Central,1821,189951273,USR000011,2024-05-17,True,88
ACC000010,Catalyst Labs,catalystlabs.io,Healthcare Tech,SMB,West,140,31231467,USR000027,2025-08-18,False,90
ACC000011,Ironwood Analytics,ironwoodanalytics.net,FinTech,Enterprise,Mountain,2584,324027754,USR000023,2024-02-02,False,82
ACC000012,Ironwood Networks,ironwoodnetworks.ai,Manufacturing Tech,Mid-Market,Northeast,324,34403523,USR000018,2025-05-13,False,71
ACC000013,Signal Software,signalsoftware.ai,EdTech,SMB,International,147,18726893,USR000023,2025-01-18,False,72
ACC000014,Pioneer Data,pioneerdata.net,Logistics Tech,SMB,West,96,18644903,USR000010,2024-07-31,False,80
ACC000015,Catalyst Analytics,catalystanalytics.ai,SaaS,SMB,Northeast,84,10312349,USR000021,2023-07-09,True,58
ACC000016,Catalyst Dynamics,catalystdynamics.com,Healthcare Tech,SMB,International,181,39658835,USR000023,2024-12-10,False,67
ACC000017,Bright Dynamics,brightdynamics.com,SaaS,SMB,Central,72,10126243,USR000007,2026-02-10,True,67
ACC000018,BluePeak Dynamics,bluepeakdynamics.ai,Logistics Tech,SMB,Mountain,141,27754522,USR000021,2025-08-09,True,57
ACC000019,Catalyst Markets 54,catalystmarkets54.io,Healthcare Tech,Mid-Market,West,280,36903151,USR000023,2024-01-20,True,72
ACC000020,Keystone Intelligence,keystoneintelligen.co,EdTech,SMB,Southeast,108,13641295,USR000027,2025-04-15,True,71
ACC000021,Bright Health,brighthealth.com,EdTech,SMB,International,134,21513042,USR000014,2023-07-17,False,63
ACC000022,Summit Dynamics,summitdynamics.io,HR Tech,Enterprise,Northeast,1566,260315892,USR000019,2024-04-08,True,77
ACC000023,Vertex Ops,vertexops.io,Cybersecurity,Mid-Market,Southeast,171,31938682,USR000010,2024-05-03,False,72
ACC000024,Cobalt Data,cobaltdata.net,Healthcare Tech,SMB,West,58,13264834,USR000023,2023-09-20,False,67
ACC000025,Evergreen Systems,evergreensystems.com,HR Tech,Enterprise,Mountain,4230,534155278,USR000018,2023-09-11,False,98
ACC000026,Ironwood Markets,ironwoodmarkets.io,EdTech,Enterprise,West,905,128855199,USR000009,2025-03-26,False,88
ACC000027,Meridian Systems,meridiansystems.co,Cybersecurity,Enterprise,Southeast,3315,721474171,USR000011,2023-04-14,False,68
ACC000028,Keystone Markets,keystonemarkets.io,HR Tech,SMB,Central,105,9529719,USR000010,2025-05-27,False,61
ACC000029,Bright Labs,brightlabs.ai,SaaS,Mid-Market,West,209,41136818,USR000022,2025-03-11,False,81
ACC000030,Bright Analytics 25,brightanalytics25.com,Healthcare Tech,SMB,International,188,37250505,USR000010,2024-10-01,False,61
ACC000031,Meridian Health,meridianhealth.net,HR Tech,SMB,Northeast,42,5317134,USR000022,2023-02-07,False,61
ACC000032,Bright Analytics,brightanalytics.co,Manufacturing Tech,Mid-Market,Central,373,53156886,USR000011,2023-10-11,False,84
ACC000033,Signal Group,signalgroup.io,Cybersecurity,Enterprise,Southeast,1993,350370655,USR000009,2025-12-08,True,50
ACC000034,Atlas Data,atlasdata.ai,Healthcare Tech,Enterprise,West,749,166670553,USR000019,2025-11-26,False,68
ACC000035,Summit Analytics,summitanalytics.net,HR Tech,Mid-Market,Northeast,314,46398103,USR000011,2026-03-30,True,82
ACC000036,Cobalt Dynamics 49,cobaltdynamics49.ai,FinTech,SMB,Southeast,133,25855794,USR000021,2024-11-16,True,73
ACC000037,Atlas Systems,atlassystems.net,Cybersecurity,Mid-Market,International,721,145004126,USR000007,2023-09-03,False,72
ACC000038,Vertex Solutions,vertexsolutions.com,Healthcare Tech,SMB,International,119,26187240,USR000021,2024-06-08,True,79
ACC000039,Atlas Software 93,atlassoftware93.ai,HR Tech,SMB,International,46,4629492,USR000023,2024-02-04,True,78
ACC000040,Nimbus Markets,nimbusmarkets.ai,SaaS,Enterprise,West,2074,323069299,USR000023,2025-05-03,True,66
