External Opportunity ID,External Account ID,Opportunity Name,Created Date,Close Date,Salesforce Stage Suggested,Original Stage,Amount,Probability,Expected Revenue,Owner External ID,Lead Source,Primary Campaign External ID,Forecast Category,Next Step,Days in Current Stage,Is Stale
OPP001285,ACC000555,Keystone Systems 68 - Lifecycle Redesign,2025-06-07,2025-09-07,Demo,Demo,54451,0.4,21780.4,USR000007,Organic Search,CMP000016,Commit,Send proposal,30,False
OPP000120,ACC000300,Apex Solutions - Reporting Build,2026-04-18,2026-06-14,Discovery,Discovery,17520,0.25,4380.0,USR000011,Referral,CMP000004,Commit,Schedule discovery,22,False
OPP000805,ACC000595,Bright Software 68 - Lifecycle Redesign,2025-07-26,2025-12-07,Proposal,Proposal,351793,0.6,211075.8,USR000027,LinkedIn,CMP000008,Pipeline,Executive follow-up,38,False
OPP001386,ACC000101,Bright Labs 72 - Lifecycle Redesign,2025-06-15,2025-09-11,Discovery,Discovery,53377,0.25,13344.25,USR000010,Event,CMP000036,Commit,Executive follow-up,38,False
OPP000226,ACC000009,Nova Markets - HubSpot-SFDC Integration,2025-04-05,2025-09-17,Demo,Demo,115888,0.4,46355.2,USR000014,Outbound,CMP000004,Commit,Send proposal,16,False
OPP001282,ACC000054,Nova Ops - HubSpot-SFDC Integration,2025-11-08,2026-02-17,Closed Won,Closed Won,78061,1.0,78061.0,USR000009,Event,,Closed,,113,False
OPP001268,ACC000609,Keystone Ops - Lifecycle Redesign,2026-01-29,2026-07-09,Prospecting,Prospecting,108962,0.1,10896.2,USR000019,Referral,,Commit,No next step logged,35,True
OPP000334,ACC000591,Meridian Dynamics 77 - HubSpot-SFDC Integration,2025-12-29,2026-05-27,Negotiation,Negotiation,613320,0.75,459990.0,USR000011,LinkedIn,CMP000028,Pipeline,Schedule discovery,43,False
OPP000380,ACC000035,Summit Analytics - HubSpot-SFDC Integration,2025-04-29,2025-05-31,Demo,Demo,62355,0.4,24942.0,USR000021,Referral,CMP000031,Commit,Send proposal,23,False
OPP001116,ACC000325,Keystone Cloud - HubSpot-SFDC Integration,2025-08-20,2025-12-12,Closed Won,Closed Won,74282,1.0,74282.0,USR000019,LinkedIn,CMP000032,Closed,,31,False
OPP001383,ACC000416,Keystone Platform 12 - HubSpot-SFDC Integration,2025-05-29,2025-06-26,Closed Won,Closed Won,12634,1.0,12634.0,USR000027,Organic Search,CMP000021,Closed,,20,False
OPP000932,ACC000627,Clearpath Platform 74 - Reporting Build,2025-04-05,2025-04-29,Prospecting,Prospecting,25130,0.1,2513.0,USR000023,Paid Search,CMP000015,Best Case,No next step logged,47,True
OPP001391,ACC000098,Summit Networks 26 - RevOps Retainer,2026-02-28,2026-05-10,Closed Won,Closed Won,10035,1.0,10035.0,USR000010,Webinar,CMP000029,Closed,,52,False
OPP000108,ACC000153,Nimbus Platform 83 - RevOps Retainer,2026-04-06,2026-05-20,Demo,Demo,23722,0.4,9488.8,USR000027,Partner,CMP000014,Pipeline,Schedule discovery,13,False
OPP000531,ACC000092,Ironwood Software - RevOps Retainer,2025-04-22,2025-08-31,Proposal,Proposal,378894,0.6,227336.4,USR000010,Organic Search,CMP000033,Commit,Send proposal,10,False
OPP000450,ACC000316,Bright Ops - Lifecycle Redesign,2025-01-07,2025-02-09,Closed Won,Closed Won,51326,1.0,51326.0,USR000011,Organic Search,CMP000010,Closed,,3,False
OPP000941,ACC000649,Atlas Data 82 - HubSpot-SFDC Integration,2025-09-23,2025-10-08,Demo,Demo,72503,0.4,29001.2,USR000014,Partner,CMP000035,Pipeline,Schedule discovery,53,True
OPP001476,ACC000359,Clearpath Health 19 - RevOps Retainer,2025-09-13,2025-12-01,Prospecting,Prospecting,102148,0.1,10214.8,USR000027,Content Download,CMP000015,Pipeline,Schedule discovery,32,False
OPP001514,ACC000203,Bright Data 15 - HubSpot-SFDC Integration,2026-05-03,2026-09-04,Closed Lost,Closed Lost,56000,0.0,0.0,USR000027,LinkedIn,CMP000007,Closed,,28,False
OPP000821,ACC000405,Apex Group 17 - HubSpot-SFDC Integration,2025-01-02,2025-05-20,Discovery,Discovery,79556,0.25,19889.0,USR000022,Paid Search,CMP000024,Commit,Schedule discovery,10,False
OPP001380,ACC000229,BluePeak Systems - RevOps Retainer,2025-07-12,2025-09-29,Discovery,Discovery,68190,0.25,17047.5,USR000007,Webinar,CMP000005,Best Case,No next step logged,38,True
OPP000251,ACC000022,Summit Dynamics - CRM Cleanup,2026-01-11,2026-05-15,Closed Lost,Closed Lost,80411,0.0,0.0,USR000019,Referral,CMP000016,Closed,,70,False
OPP000694,ACC000375,Apex Group - CRM Cleanup,2026-04-05,2026-09-11,Closed Won,Closed Won,369095,1.0,369095.0,USR000010,Outbound,CMP000028,Closed,,10,False
OPP001084,ACC000115,Bright Networks - Lead Routing,2025-03-01,2025-05-07,Closed Lost,Closed Lost,15308,0.0,0.0,USR000018,Paid Search,,Closed,,99,False
OPP000507,ACC000005,Summit Solutions - Lead Routing,2025-05-16,2025-08-03,Closed Won,Closed Won,29141,1.0,29141.0,USR000021,Direct,CMP000010,Closed,,84,False
OPP000373,ACC000128,Ironwood Cloud - HubSpot-SFDC Integration,2025-04-15,2025-04-30,Prospecting,Prospecting,86339,0.1,8633.9,USR000022,Webinar,CMP000035,Commit,Schedule discovery,31,False
OPP001452,ACC000508,Signal Health 89 - Lifecycle Redesign,2025-12-17,2026-04-18,Closed Lost,Closed Lost,59025,0.0,0.0,USR000009,Paid Search,CMP000035,Closed,,20,False
OPP000745,ACC000143,Atlas Ops - HubSpot-SFDC Integration,2026-05-11,2026-10-11,Proposal,Proposal,67582,0.6,40549.2,USR000027,Outbound,,Commit,No next step logged,65,True
OPP000754,ACC000168,Ironwood Platform 56 - HubSpot-SFDC Integration,2026-03-21,2026-06-27,Discovery,Discovery,38804,0.25,9701.0,USR000014,Organic Search,CMP000017,Best Case,Legal review,50,True
OPP001591,ACC000532,Northstar Health - Lifecycle Redesign,2026-02-28,2026-08-14,Demo,Demo,82527,0.4,33010.8,USR000027,Content Download,CMP000008,Best Case,Send proposal,45,False
OPP000189,ACC000387,Apex Dynamics - Reporting Build,2026-03-20,2026-07-12,Negotiation,Negotiation,471164,0.75,353373.0,USR000014,Direct,CMP000028,Pipeline,Schedule discovery,22,False
OPP000690,ACC000620,Bright Networks 83 - Lifecycle Redesign,2026-01-12,2026-04-03,Discovery,Discovery,8657,0.25,2164.25,USR000014,Event,CMP000012,Pipeline,Schedule discovery,15,False
OPP000199,ACC000063,Nova Analytics - CRM Cleanup,2025-05-12,2025-10-20,Proposal,Proposal,116653,0.6,69991.8,USR000022,Outbound,CMP000013,Commit,Technical scoping,21,False
OPP000166,ACC000355,Cobalt Group - Lifecycle Redesign,2025-03-03,2025-04-14,Discovery,Discovery,68247,0.25,17061.75,USR000023,Partner,CMP000012,Pipeline,Technical scoping,7,False
OPP000070,ACC000424,Nimbus Health 75 - Lead Routing,2025-09-14,2025-12-23,Discovery,Discovery,61909,0.25,15477.25,USR000018,Outbound,CMP000008,Best Case,Schedule discovery,18,False
OPP001568,ACC000537,Keystone Dynamics 63 - Lifecycle Redesign,2025-12-05,2026-02-03,Negotiation,Negotiation,71600,0.75,53700.0,USR000022,LinkedIn,CMP000008,Best Case,Executive follow-up,19,False
OPP000368,ACC000239,Evergreen Works - Reporting Build,2026-02-12,2026-06-01,Discovery,Discovery,44070,0.25,11017.5,USR000021,LinkedIn,CMP000019,Commit,Schedule discovery,26,False
OPP001013,ACC000237,Northstar Markets - Lead Routing,2025-02-20,2025-05-05,Demo,Demo,20092,0.4,8036.8,USR000023,Content Download,,Best Case,Legal review,14,False
OPP001420,ACC000189,Atlas Group - Lead Routing,2025-06-29,2025-09-03,Closed Lost,Closed Lost,10595,0.0,0.0,USR000022,Webinar,CMP000032,Closed,,42,False
OPP000818,ACC000033,Signal Group - HubSpot-SFDC Integration,2025-09-05,2026-01-24,Proposal,Proposal,227688,0.6,136612.8,USR000019,Webinar,CMP000003,Commit,Legal review,35,False
OPP001253,ACC000561,Atlas Data 24 - Lifecycle Redesign,2025-01-27,2025-03-10,Negotiation,Negotiation,14816,0.75,11112.0,USR000014,Webinar,,Pipeline,Schedule discovery,28,False
OPP000767,ACC000489,Nimbus Ops 79 - Reporting Build,2025-10-09,2025-11-28,Prospecting,Prospecting,66612,0.1,6661.2,USR000011,Paid Search,CMP000017,Best Case,Send proposal,47,True
OPP001349,ACC000538,Northstar Markets 65 - Lead Routing,2025-04-09,2025-08-27,Closed Won,Closed Won,112279,1.0,112279.0,USR000009,Event,CMP000012,Closed,,22,False
OPP000332,ACC000111,Vertex Solutions 20 - Lead Routing,2025-09-13,2025-11-23,Closed Lost,Closed Lost,47791,0.0,0.0,USR000021,Event,CMP000015,Closed,,17,False
OPP001255,ACC000313,Pioneer Health 24 - CRM Cleanup,2025-10-31,2026-01-24,Proposal,Proposal,80116,0.6,48069.6,USR000027,Organic Search,CMP000013,Best Case,Send proposal,35,False
OPP000930,ACC000619,Nimbus Dynamics 49 - RevOps Retainer,2026-02-03,2026-05-27,Closed Won,Closed Won,234444,1.0,234444.0,USR000022,Direct,CMP000031,Closed,,29,False
OPP000029,ACC000364,Evergreen Systems 95 - CRM Cleanup,2025-01-19,2025-06-13,Discovery,Discovery,138812,0.25,34703.0,USR000022,Partner,CMP000022,Best Case,Technical scoping,26,False
OPP000486,ACC000337,Vertex Systems 29 - RevOps Retainer,2025-06-14,2025-10-12,Prospecting,Prospecting,224482,0.1,22448.2,USR000019,Paid Search,CMP000003,Best Case,Send proposal,20,False
OPP001059,ACC000563,Apex Group 61 - Lifecycle Redesign,2025-02-06,2025-05-15,Demo,Demo,199504,0.4,79801.6,USR000021,Paid Search,CMP000009,Pipeline,No next step logged,24,True
OPP001626,ACC000408,Clearpath Intelligence 94 - HubSpot-SFDC Integration,2025-04-29,2025-09-14,Demo,Demo,38603,0.4,15441.2,USR000021,Referral,CMP000028,Commit,No next step logged,21,True
OPP001548,ACC000055,Signal Solutions - Lifecycle Redesign,2026-01-11,2026-04-19,Negotiation,Negotiation,42581,0.75,31935.75,USR000019,LinkedIn,,Commit,No next step logged,5,True
