Company name,Company domain name,Industry,Segment,Region,Number of employees,Annual revenue,CRM Health Score,PE Backed,Salesforce Account ID
Nimbus Ops,nimbusops.net,EdTech,Mid-Market,Central,431,49814384,64,True,ACC000001
Northstar Ops,northstarops.net,Healthcare Tech,Mid-Market,Southeast,400,38063311,57,False,ACC000003
Clearpath Solutions,clearpathsolutions.net,SaaS,SMB,International,70,8483387,93,False,ACC000004
Northstar Data,northstardata.com,Cybersecurity,Mid-Market,Northeast,466,82953906,94,True,ACC000006
BluePeak Health,bluepeakhealth.ai,Manufacturing Tech,Mid-Market,Northeast,482,48770011,66,False,ACC000007
Nova Markets,novamarkets.com,Healthcare Tech,Enterprise,Central,1821,189951273,88,True,ACC000009
Ironwood Analytics,ironwoodanalytics.net,FinTech,Enterprise,Mountain,2584,324027754,82,False,ACC000011
Pioneer Data,pioneerdata.net,Logistics Tech,SMB,West,96,18644903,80,False,ACC000014
BluePeak Dynamics,bluepeakdynamics.ai,Logistics Tech,SMB,Mountain,141,27754522,57,True,ACC000018
Catalyst Markets 54,catalystmarkets54.io,Healthcare Tech,Mid-Market,West,280,36903151,72,True,ACC000019
Bright Health,brighthealth.com,EdTech,SMB,International,134,21513042,63,False,ACC000021
Summit Dynamics,summitdynamics.io,HR Tech,Enterprise,Northeast,1566,260315892,77,True,ACC000022
Vertex Ops,vertexops.io,Cybersecurity,Mid-Market,Southeast,171,31938682,72,False,ACC000023
Cobalt Data,cobaltdata.net,Healthcare Tech,SMB,West,58,13264834,67,False,ACC000024
Evergreen Systems,evergreensystems.com,HR Tech,Enterprise,Mountain,4230,534155278,98,False,ACC000025
Ironwood Markets,ironwoodmarkets.io,EdTech,Enterprise,West,905,128855199,88,False,ACC000026
Bright Labs,brightlabs.ai,SaaS,Mid-Market,West,209,41136818,81,False,ACC000029
Bright Analytics 25,brightanalytics25.com,Healthcare Tech,SMB,International,188,37250505,61,False,ACC000030
Meridian Health,meridianhealth.net,HR Tech,SMB,Northeast,42,5317134,61,False,ACC000031
Bright Analytics,brightanalytics.co,Manufacturing Tech,Mid-Market,Central,373,53156886,84,False,ACC000032
Signal Group,signalgroup.io,Cybersecurity,Enterprise,Southeast,1993,350370655,50,True,ACC000033
Summit Analytics,summitanalytics.net,HR Tech,Mid-Market,Northeast,314,46398103,82,True,ACC000035
Atlas Systems,atlassystems.net,Cybersecurity,Mid-Market,International,721,145004126,72,False,ACC000037
Atlas Software 93,atlassoftware93.ai,HR Tech,SMB,International,46,4629492,78,True,ACC000039
Nimbus Markets,nimbusmarkets.ai,SaaS,Enterprise,West,2074,323069299,66,True,ACC000040
Keystone Solutions,keystonesolutions.com,SaaS,SMB,Central,71,6803589,80,False,ACC000041
Nimbus Networks,nimbusnetworks.co,Manufacturing Tech,SMB,International,66,15495993,82,True,ACC000042
Summit Analytics 90,summitanalytics90.io,Manufacturing Tech,SMB,West,334,61995238,97,False,ACC000043
Pioneer Labs,pioneerlabs.ai,HR Tech,SMB,International,58,6727660,95,False,ACC000045
Summit Intelligence,summitintelligence.net,EdTech,SMB,Northeast,99,16582939,80,False,ACC000046
Vertex Dynamics,vertexdynamics.io,FinTech,Mid-Market,Southeast,174,24950886,65,True,ACC000047
Northstar Group,northstargroup.co,HR Tech,SMB,Central,132,18736825,80,False,ACC000048
Summit Platform,summitplatform.com,Logistics Tech,Mid-Market,Mountain,316,46196637,73,False,ACC000049
Clearpath Intelligence,clearpathintellige.ai,HR Tech,Mid-Market,Mountain,1168,213017124,77,False,ACC000050
Signal Platform,signalplatform.ai,Cybersecurity,SMB,West,128,22569104,73,False,ACC000051
Pioneer Platform,pioneerplatform.net,Ecommerce,SMB,West,117,21515241,78,True,ACC000052
Nova Ops,novaops.net,Manufacturing Tech,Mid-Market,West,204,33538746,60,False,ACC000054
Signal Solutions,signalsolutions.com,EdTech,Mid-Market,West,492,103576892,80,False,ACC000055
Nova Data 58,novadata58.co,HR Tech,SMB,Northeast,107,20958595,95,True,ACC000061
Nova Analytics,novaanalytics.io,Cybersecurity,Enterprise,Mountain,2047,255842679,55,True,ACC000063
Keystone Software 93,keystonesoftware93.co,Logistics Tech,Mid-Market,Southeast,261,40498789,55,True,ACC000065
Summit Ops 30,summitops30.io,Manufacturing Tech,Mid-Market,Southeast,481,97117138,60,False,ACC000066
Catalyst Solutions 58,catalystsolutions5.com,Cybersecurity,Mid-Market,Mountain,651,63027839,74,False,ACC000070
Evergreen Analytics 19,evergreenanalytics.io,HR Tech,SMB,Southeast,55,7719195,68,True,ACC000071
Vertex Software,vertexsoftware.com,EdTech,Mid-Market,Southeast,711,72280399,46,True,ACC000072
Evergreen Data,evergreendata.co,SaaS,Mid-Market,Mountain,1043,136261323,51,False,ACC000073
Meridian Systems 12,meridiansystems12.co,FinTech,SMB,Southeast,90,18481330,72,False,ACC000077
Apex Labs,apexlabs.ai,HR Tech,Mid-Market,International,813,110703434,70,False,ACC000080
Bright Systems,brightsystems.io,HR Tech,SMB,West,113,18306779,90,False,ACC000081
Vertex Markets 87,vertexmarkets87.com,HR Tech,Mid-Market,Southeast,237,26178005,81,False,ACC000082
Summit Systems,summitsystems.ai,EdTech,Mid-Market,Southeast,988,216722301,52,False,ACC000084
Signal Analytics,signalanalytics.net,HR Tech,Mid-Market,West,519,51866470,80,False,ACC000085
Atlas Health,atlashealth.net,SaaS,Mid-Market,Central,748,94264338,51,True,ACC000086
Vertex Ops 24,vertexops24.net,Cybersecurity,SMB,Northeast,67,7808955,60,True,ACC000088
Ironwood Software,ironwoodsoftware.ai,Cybersecurity,Enterprise,Central,3049,517384392,61,True,ACC000092
Atlas Intelligence,atlasintelligence.co,Manufacturing Tech,Mid-Market,Northeast,249,42470929,71,False,ACC000096
Summit Networks 26,summitnetworks26.io,Logistics Tech,Mid-Market,Central,186,19579730,79,True,ACC000098
BluePeak Works,bluepeakworks.com,HR Tech,SMB,Central,57,12797344,64,True,ACC000099
Pioneer Networks,pioneernetworks.ai,SaaS,SMB,International,99,22533324,84,False,ACC000100
Bright Labs 72,brightlabs72.ai,FinTech,Mid-Market,International,631,124791980,79,False,ACC000101
Summit Ops,summitops.net,HR Tech,Enterprise,Northeast,3475,445481441,63,False,ACC000105
Clearpath Data,clearpathdata.ai,EdTech,Mid-Market,Central,103,14660014,60,False,ACC000106
Signal Software 35,signalsoftware35.com,FinTech,SMB,Mountain,68,15569784,54,True,ACC000107
Evergreen Analytics,evergreenanalytics.io,SaaS,Mid-Market,Southeast,540,113362507,81,True,ACC000108
Vertex Solutions 20,vertexsolutions20.com,SaaS,Mid-Market,Mountain,144,21416013,85,False,ACC000111
Evergreen Markets,evergreenmarkets.co,Healthcare Tech,Mid-Market,Northeast,525,125818293,94,False,ACC000113
Keystone Markets 13,keystonemarkets13.co,Ecommerce,Mid-Market,Southeast,409,71503937,70,True,ACC000116
Meridian Labs 60,meridianlabs60.com,Ecommerce,Enterprise,Central,3220,576201083,58,False,ACC000118
BluePeak Systems 86,bluepeaksystems86.net,Logistics Tech,Mid-Market,Southeast,454,51247908,78,False,ACC000119
Signal Intelligence,signalintelligence.net,Logistics Tech,SMB,International,75,8612105,65,True,ACC000120
Bright Software,brightsoftware.ai,Manufacturing Tech,Enterprise,Mountain,2060,368104109,87,False,ACC000121
Clearpath Markets,clearpathmarkets.com,SaaS,Mid-Market,International,566,102195958,63,False,ACC000122
Catalyst Networks,catalystnetworks.ai,Manufacturing Tech,Enterprise,West,1927,312415928,83,False,ACC000123
Atlas Solutions 55,atlassolutions55.co,Logistics Tech,SMB,Mountain,60,7380874,84,True,ACC000125
Meridian Software 78,meridiansoftware78.net,FinTech,Enterprise,West,1723,177128621,56,True,ACC000126
Ironwood Cloud,ironwoodcloud.co,Manufacturing Tech,Mid-Market,Southeast,733,130560523,66,False,ACC000128
Clearpath Group 26,clearpathgroup26.io,EdTech,Mid-Market,Mountain,93,13960644,87,True,ACC000129
Bright Group,brightgroup.co,EdTech,SMB,Southeast,41,7650597,61,False,ACC000130
Bright Cloud 66,brightcloud66.net,Ecommerce,Enterprise,West,1734,299563047,86,False,ACC000131
Summit Data,summitdata.com,FinTech,Mid-Market,Southeast,630,140565015,45,False,ACC000132
Vertex Analytics,vertexanalytics.co,Cybersecurity,Enterprise,Central,2012,424587374,72,False,ACC000133
Atlas Dynamics,atlasdynamics.com,EdTech,SMB,West,69,6564260,87,False,ACC000136
Northstar Works 5,northstarworks5.com,Ecommerce,Mid-Market,West,680,83590073,66,False,ACC000137
Keystone Networks,keystonenetworks.io,FinTech,SMB,West,106,19612303,48,False,ACC000139
Meridian Dynamics,meridiandynamics.co,FinTech,Mid-Market,Mountain,299,27734821,61,False,ACC000140
Nimbus Data,nimbusdata.ai,SaaS,Enterprise,Southeast,1315,198285185,71,False,ACC000141
Evergreen Networks,evergreennetworks.com,Logistics Tech,SMB,Central,219,41556454,93,False,ACC000142
Meridian Markets,meridianmarkets.com,HR Tech,Mid-Market,Southeast,447,56680657,61,False,ACC000144
Pioneer Works,pioneerworks.ai,SaaS,Mid-Market,International,457,82973239,78,False,ACC000145
Signal Cloud 71,signalcloud71.ai,Manufacturing Tech,Mid-Market,Northeast,595,124897867,64,False,ACC000149
Cobalt Cloud 98,cobaltcloud98.io,EdTech,Enterprise,Northeast,967,165632732,68,False,ACC000151
Cobalt Platform,cobaltplatform.com,Cybersecurity,Mid-Market,Northeast,628,116547214,85,False,ACC000152
Nimbus Platform 83,nimbusplatform83.ai,Healthcare Tech,SMB,International,141,13407957,73,False,ACC000153
Ironwood Systems,ironwoodsystems.net,Manufacturing Tech,SMB,Central,80,16744102,58,True,ACC000154
Clearpath Works 85,clearpathworks85.co,Healthcare Tech,Mid-Market,Mountain,1346,252408788,76,True,ACC000155
Meridian Data 49,meridiandata49.net,EdTech,Mid-Market,Northeast,444,84026234,91,False,ACC000157
Summit Markets 80,summitmarkets80.co,Cybersecurity,Mid-Market,West,357,56867039,85,True,ACC000158
Pioneer Software,pioneersoftware.co,Logistics Tech,Enterprise,Mountain,2958,620640121,72,True,ACC000159
Evergreen Intelligence 9,evergreenintellige.co,Cybersecurity,SMB,Mountain,375,49032392,62,False,ACC000160
Catalyst Cloud,catalystcloud.net,HR Tech,SMB,West,115,20512122,82,True,ACC000162
Catalyst Group,catalystgroup.com,FinTech,Enterprise,Central,1894,284548945,72,False,ACC000165
Clearpath Dynamics 80,clearpathdynamics8.com,Manufacturing Tech,SMB,Central,196,38103006,64,False,ACC000167
Nimbus Group,nimbusgroup.co,Manufacturing Tech,SMB,Central,118,23633263,69,True,ACC000170
BluePeak Ops,bluepeakops.com,Healthcare Tech,SMB,International,79,13421339,73,True,ACC000171
Keystone Health,keystonehealth.ai,EdTech,Mid-Market,Central,740,148064001,73,False,ACC000173
Vertex Labs 77,vertexlabs77.net,Manufacturing Tech,Mid-Market,Central,368,51618560,74,False,ACC000175
Pioneer Health,pioneerhealth.net,Manufacturing Tech,Mid-Market,Mountain,345,31519496,59,False,ACC000177
Catalyst Ops 73,catalystops73.net,Manufacturing Tech,Mid-Market,West,297,61071550,78,True,ACC000179
Northstar Solutions 91,northstarsolutions.ai,Ecommerce,Mid-Market,Central,354,34935576,97,True,ACC000180
Northstar Cloud,northstarcloud.net,EdTech,Enterprise,West,1469,299293295,77,True,ACC000181
Apex Analytics,apexanalytics.net,HR Tech,Enterprise,Southeast,3733,477362274,65,False,ACC000182
Clearpath Group,clearpathgroup.io,Ecommerce,Mid-Market,Central,205,42890393,69,True,ACC000183
Keystone Markets 79,keystonemarkets79.co,EdTech,SMB,Central,114,24920857,75,False,ACC000185
Atlas Labs,atlaslabs.io,EdTech,SMB,Northeast,45,9884418,92,False,ACC000187
