Deal name,Amount,Deal stage,Close date,Create date,Lead Source,Primary Campaign ID,Expected Revenue,Salesforce Account ID,Salesforce Opportunity ID
Keystone Systems 68 - Lifecycle Redesign,54451,Demo,2025-09-07,2025-06-07,Organic Search,CMP000016,21780.4,ACC000555,OPP001285
Apex Solutions - Reporting Build,17520,Discovery,2026-06-14,2026-04-18,Referral,CMP000004,4380.0,ACC000300,OPP000120
Bright Software 68 - Lifecycle Redesign,351793,Proposal,2025-12-07,2025-07-26,LinkedIn,CMP000008,211075.8,ACC000595,OPP000805
Bright Labs 72 - Lifecycle Redesign,53377,Discovery,2025-09-11,2025-06-15,Event,CMP000036,13344.25,ACC000101,OPP001386
Nova Markets - HubSpot-SFDC Integration,115888,Demo,2025-09-17,2025-04-05,Outbound,CMP000004,46355.2,ACC000009,OPP000226
Nova Ops - HubSpot-SFDC Integration,78061,Closed Won,2026-02-17,2025-11-08,Event,,78061.0,ACC000054,OPP001282
Keystone Ops - Lifecycle Redesign,108962,Prospecting,2026-07-09,2026-01-29,Referral,,10896.2,ACC000609,OPP001268
Meridian Dynamics 77 - HubSpot-SFDC Integration,613320,Negotiation,2026-05-27,2025-12-29,LinkedIn,CMP000028,459990.0,ACC000591,OPP000334
Summit Analytics - HubSpot-SFDC Integration,62355,Demo,2025-05-31,2025-04-29,Referral,CMP000031,24942.0,ACC000035,OPP000380
Keystone Cloud - HubSpot-SFDC Integration,74282,Closed Won,2025-12-12,2025-08-20,LinkedIn,CMP000032,74282.0,ACC000325,OPP001116
Keystone Platform 12 - HubSpot-SFDC Integration,12634,Closed Won,2025-06-26,2025-05-29,Organic Search,CMP000021,12634.0,ACC000416,OPP001383
Clearpath Platform 74 - Reporting Build,25130,Prospecting,2025-04-29,2025-04-05,Paid Search,CMP000015,2513.0,ACC000627,OPP000932
Summit Networks 26 - RevOps Retainer,10035,Closed Won,2026-05-10,2026-02-28,Webinar,CMP000029,10035.0,ACC000098,OPP001391
Nimbus Platform 83 - RevOps Retainer,23722,Demo,2026-05-20,2026-04-06,Partner,CMP000014,9488.8,ACC000153,OPP000108
Ironwood Software - RevOps Retainer,378894,Proposal,2025-08-31,2025-04-22,Organic Search,CMP000033,227336.4,ACC000092,OPP000531
Bright Ops - Lifecycle Redesign,51326,Closed Won,2025-02-09,2025-01-07,Organic Search,CMP000010,51326.0,ACC000316,OPP000450
Atlas Data 82 - HubSpot-SFDC Integration,72503,Demo,2025-10-08,2025-09-23,Partner,CMP000035,29001.2,ACC000649,OPP000941
Clearpath Health 19 - RevOps Retainer,102148,Prospecting,2025-12-01,2025-09-13,Content Download,CMP000015,10214.8,ACC000359,OPP001476
Bright Data 15 - HubSpot-SFDC Integration,56000,Closed Lost,2026-09-04,2026-05-03,LinkedIn,CMP000007,0.0,ACC000203,OPP001514
Apex Group 17 - HubSpot-SFDC Integration,79556,Discovery,2025-05-20,2025-01-02,Paid Search,CMP000024,19889.0,ACC000405,OPP000821
