opportunity_id,account_id,opportunity_name,created_date,close_date,stage_name,amount,probability,expected_revenue,owner_id,lead_source,primary_campaign_id,forecast_category,next_step,days_in_current_stage,is_stale
OPP000001,ACC000304,Evergreen Markets 98 - HubSpot-SFDC Integration,2025-07-05,2025-10-30,Discovery,114626,0.25,28656.5,USR000023,Webinar,CMP000013,Best Case,No next step logged,29,True
OPP000002,ACC000041,Keystone Solutions - Lifecycle Redesign,2025-09-22,2025-10-13,Demo,11171,0.4,4468.4,USR000023,Referral,CMP000003,Pipeline,Executive follow-up,22,False
OPP000003,ACC000649,Atlas Data 82 - Reporting Build,2025-03-01,2025-05-16,Demo,43885,0.4,17554.0,USR000019,Content Download,CMP000036,Best Case,Schedule discovery,26,False
OPP000004,ACC000147,Vertex Health 82 - RevOps Retainer,2025-08-21,2025-12-02,Discovery,17569,0.25,4392.25,USR000023,Webinar,CMP000004,Commit,Send proposal,42,False
OPP000005,ACC000505,Atlas Health 62 - CRM Cleanup,2026-06-10,2026-07-28,Discovery,90492,0.25,22623.0,USR000009,Outbound,CMP000018,Pipeline,Executive follow-up,34,False
OPP000006,ACC000625,Clearpath Platform 75 - RevOps Retainer,2025-06-15,2025-09-18,Demo,25194,0.4,10077.6,USR000011,LinkedIn,CMP000034,Commit,Schedule discovery,5,False
OPP000007,ACC000044,Evergreen Cloud - RevOps Retainer,2026-04-14,2026-07-10,Discovery,38879,0.25,9719.75,USR000023,Webinar,CMP000028,Pipeline,Legal review,31,False
OPP000008,ACC000110,Cobalt Dynamics 35 - CRM Cleanup,2025-04-28,2025-08-17,Proposal,187387,0.6,112432.2,USR000022,Paid Search,CMP000034,Best Case,Schedule discovery,62,True
OPP000009,ACC000138,Pioneer Intelligence - HubSpot-SFDC Integration,2026-06-06,2026-06-21,Demo,5000,0.4,2000.0,USR000027,Event,CMP000035,Commit,Schedule discovery,14,False
OPP000010,ACC000334,Ironwood Group 34 - Lead Routing,2025-09-13,2025-10-16,Closed Lost,22564,0.0,0.0,USR000023,Outbound,CMP000003,Closed,,12,False
OPP000011,ACC000121,Bright Software - RevOps Retainer,2025-04-08,2025-07-09,Proposal,129546,0.6,77727.6,USR000007,Event,CMP000030,Pipeline,Technical scoping,16,False
OPP000012,ACC000190,Vertex Platform 70 - Reporting Build,2025-07-20,2025-09-02,Discovery,45715,0.25,11428.75,USR000007,LinkedIn,,Pipeline,Send proposal,87,True
OPP000013,ACC000249,Nova Intelligence 92 - HubSpot-SFDC Integration,2025-08-16,2025-11-27,Closed Lost,139581,0.0,0.0,USR000010,Content Download,CMP000023,Closed,,30,False
OPP000014,ACC000122,Clearpath Markets - Reporting Build,2026-04-08,2026-06-21,Closed Won,85218,1.0,85218.0,USR000023,Webinar,CMP000002,Closed,,26,False
OPP000015,ACC000074,Meridian Markets 2 - Reporting Build,2025-02-13,2025-08-21,Proposal,200232,0.6,120139.2,USR000023,Referral,CMP000033,Pipeline,Schedule discovery,18,False
OPP000016,ACC000191,Pioneer Analytics - CRM Cleanup,2025-03-13,2025-07-22,Closed Lost,76778,0.0,0.0,USR000021,LinkedIn,CMP000012,Closed,,38,False
OPP000017,ACC000066,Summit Ops 30 - Lifecycle Redesign,2025-06-03,2025-10-05,Prospecting,70908,0.1,7090.8,USR000011,LinkedIn,CMP000024,Commit,Technical scoping,41,False
OPP000018,ACC000122,Clearpath Markets - Lead Routing,2025-04-08,2025-06-18,Closed Lost,57849,0.0,0.0,USR000005,LinkedIn,CMP000017,Closed,,25,False
OPP000019,ACC000144,Meridian Markets - Lead Routing,2026-01-01,2026-04-30,Closed Won,31035,1.0,31035.0,USR000027,Direct,CMP000028,Closed,,32,False
OPP000020,ACC000483,Apex Ops 16 - Lifecycle Redesign,2025-04-24,2025-07-09,Demo,28669,0.4,11467.6,USR000027,Partner,,Commit,Send proposal,26,False
OPP000021,ACC000133,Vertex Analytics - CRM Cleanup,2025-10-04,2026-02-28,Proposal,650000,0.6,390000.0,USR000011,Partner,CMP000023,Commit,No next step logged,49,True
OPP000022,ACC000486,Vertex Platform 6 - RevOps Retainer,2025-06-24,2025-10-16,Negotiation,149792,0.75,112344.0,USR000009,Paid Search,,Commit,Legal review,15,False
OPP000023,ACC000424,Nimbus Health 75 - Reporting Build,2025-06-20,2025-08-14,Discovery,47499,0.25,11874.75,USR000007,Webinar,CMP000018,Commit,Send proposal,11,False
